Algorithm,Experiment,VMid,RT,Cost,Power
LBA-HB,2,20,0.000,0.000,0.000
LBA-HB,2,21,8.000,2.400,15.200
LBA-HB,2,24,0.000,0.000,0.000
LBA-HB,2,28,0.000,0.000,0.000
LBA-HB,2,22,3.556,2.400,25.300
LBA-HB,2,23,2.000,2.400,40.400
LBA-HB,2,25,8.000,2.400,15.200
LBA-HB,2,26,3.556,2.400,25.300
LBA-HB,2,27,2.000,2.400,40.400
LBA-HB,2,29,8.000,2.400,15.200
LBA-HB,2,30,3.556,2.400,25.300
LBA-HB,2,31,2.000,2.400,40.400
LBA-HB,2,32,0.000,0.000,0.000
LBA-HB,2,33,8.000,2.400,15.200
LBA-HB,2,34,3.556,2.400,25.300
LBA-HB,2,35,2.250,2.700,45.450
LBA-HB,2,36,0.000,0.000,0.000
LBA-HB,2,37,8.000,2.400,15.200
LBA-HB,2,38,3.556,2.400,25.300
LBA-HB,2,40,0.000,0.000,0.000
LBA-HB,2,44,0.000,0.000,0.000
LBA-HB,2,39,2.250,2.700,45.450
LBA-HB,2,41,8.000,2.400,15.200
LBA-HB,2,42,3.556,2.400,25.300
LBA-HB,2,43,2.250,2.700,45.450
LBA-HB,2,45,8.000,2.400,15.200
LBA-HB,2,46,3.556,2.400,25.300
LBA-HB,2,47,2.250,2.700,45.450
LBA-HB,2,48,0.000,0.000,0.000
LBA-HB,2,49,8.000,2.400,15.200
LBA-HB,3,0,0.000,0.000,0.000
LBA-HB,3,1,10.000,3.000,19.000
LBA-HB,3,2,4.889,3.300,34.788
LBA-HB,3,3,2.750,3.300,55.550
LBA-HB,3,4,0.000,0.000,0.000
LBA-HB,3,5,10.000,3.000,19.000
LBA-HB,3,6,4.889,3.300,34.788
LBA-HB,3,7,2.750,3.300,55.550
LBA-HB,3,8,0.000,0.000,0.000
LBA-HB,3,9,10.000,3.000,19.000
LBA-HB,3,10,4.889,3.300,34.788
LBA-HB,3,11,2.750,3.300,55.550
LBA-HB,3,12,0.000,0.000,0.000
LBA-HB,3,13,10.000,3.000,19.000
LBA-HB,3,14,4.889,3.300,34.788
LBA-HB,3,15,2.750,3.300,55.550
LBA-HB,3,16,0.000,0.000,0.000
LBA-HB,3,17,10.000,3.000,19.000
LBA-HB,3,18,4.889,3.300,34.788
LBA-HB,3,19,2.750,3.300,55.550
LBA-HB,3,20,0.000,0.000,0.000
LBA-HB,3,21,10.000,3.000,19.000
LBA-HB,3,24,0.000,0.000,0.000
LBA-HB,3,28,0.000,0.000,0.000
LBA-HB,3,22,4.889,3.300,34.788
LBA-HB,3,23,2.750,3.300,55.550
LBA-HB,3,25,10.000,3.000,19.000
LBA-HB,3,26,4.889,3.300,34.788
LBA-HB,3,27,2.750,3.300,55.550
LBA-HB,3,29,11.000,3.300,20.900
LBA-HB,3,30,4.889,3.300,34.788
LBA-HB,3,31,2.750,3.300,55.550
LBA-HB,3,32,0.000,0.000,0.000
LBA-HB,3,33,11.000,3.300,20.900
LBA-HB,3,34,4.889,3.300,34.788
LBA-HB,3,35,2.750,3.300,55.550
LBA-HB,3,36,0.000,0.000,0.000
LBA-HB,3,37,11.000,3.300,20.900
LBA-HB,3,38,4.889,3.300,34.788
LBA-HB,3,40,0.000,0.000,0.000
LBA-HB,3,44,0.000,0.000,0.000
LBA-HB,3,39,2.750,3.300,55.550
LBA-HB,3,41,11.000,3.300,20.900
LBA-HB,3,42,4.889,3.300,34.788
LBA-HB,3,43,2.750,3.300,55.550
LBA-HB,3,45,11.000,3.300,20.900
LBA-HB,3,46,4.889,3.300,34.788
LBA-HB,3,47,2.750,3.300,55.550
LBA-HB,3,48,0.000,0.000,0.000
LBA-HB,3,49,11.000,3.300,20.900
LBA-HB,4,0,0.000,0.000,0.000
LBA-HB,4,1,13.000,3.900,24.700
LBA-HB,4,2,5.778,3.900,41.113
LBA-HB,4,3,3.500,4.200,70.700
LBA-HB,4,4,0.000,0.000,0.000
LBA-HB,4,5,13.000,3.900,24.700
LBA-HB,4,6,5.778,3.900,41.113
LBA-HB,4,7,3.500,4.200,70.700
LBA-HB,4,8,0.000,0.000,0.000
LBA-HB,4,12,0.000,0.000,0.000
LBA-HB,4,9,13.000,3.900,24.700
LBA-HB,4,10,5.778,3.900,41.113
LBA-HB,4,11,3.500,4.200,70.700
LBA-HB,4,13,13.000,3.900,24.700
LBA-HB,4,14,5.778,3.900,41.113
LBA-HB,4,15,3.500,4.200,70.700
LBA-HB,4,16,0.000,0.000,0.000
LBA-HB,4,17,13.000,3.900,24.700
LBA-HB,4,18,5.778,3.900,41.113
LBA-HB,4,19,3.500,4.200,70.700
LBA-HB,4,20,0.000,0.000,0.000
LBA-HB,4,21,13.000,3.900,24.700
LBA-HB,4,22,6.222,4.200,44.275
LBA-HB,4,23,3.500,4.200,70.700
LBA-HB,4,24,0.000,0.000,0.000
LBA-HB,4,25,13.000,3.900,24.700
LBA-HB,4,28,0.000,0.000,0.000
LBA-HB,4,29,13.000,3.900,24.700
LBA-HB,4,26,6.222,4.200,44.275
LBA-HB,4,27,3.500,4.200,70.700
LBA-HB,4,30,6.222,4.200,44.275
LBA-HB,4,31,3.500,4.200,70.700
LBA-HB,4,32,0.000,0.000,0.000
LBA-HB,4,33,13.000,3.900,24.700
LBA-HB,4,34,6.222,4.200,44.275
LBA-HB,4,36,0.000,0.000,0.000
LBA-HB,4,35,3.500,4.200,70.700
LBA-HB,4,37,13.000,3.900,24.700
LBA-HB,4,38,6.222,4.200,44.275
LBA-HB,4,39,3.500,4.200,70.700
LBA-HB,4,40,0.000,0.000,0.000
LBA-HB,4,41,13.000,3.900,24.700
LBA-HB,4,42,6.222,4.200,44.275
LBA-HB,4,44,0.000,0.000,0.000
LBA-HB,4,45,13.000,3.900,24.700
LBA-HB,4,43,3.500,4.200,70.700
LBA-HB,4,46,6.222,4.200,44.275
LBA-HB,4,47,3.500,4.200,70.700
LBA-HB,4,48,0.000,0.000,0.000
LBA-HB,4,49,13.000,3.900,24.700
LBA-HB,5,0,0.000,0.000,0.000
LBA-HB,5,1,16.000,4.800,30.400
LBA-HB,5,2,7.111,4.800,50.600
LBA-HB,5,3,4.000,4.800,80.800
LBA-HB,5,4,0.000,0.000,0.000
LBA-HB,5,5,16.000,4.800,30.400
LBA-HB,5,6,7.111,4.800,50.600
LBA-HB,5,7,4.000,4.800,80.800
LBA-HB,5,8,0.000,0.000,0.000
LBA-HB,5,9,16.000,4.800,30.400
LBA-HB,5,10,7.111,4.800,50.600
LBA-HB,5,11,4.000,4.800,80.800
LBA-HB,5,12,0.000,0.000,0.000
LBA-HB,5,13,16.000,4.800,30.400
LBA-HB,5,14,7.111,4.800,50.600
LBA-HB,5,15,4.000,4.800,80.800
LBA-HB,5,16,0.000,0.000,0.000
LBA-HB,5,17,16.000,4.800,30.400
LBA-HB,5,18,7.111,4.800,50.600
LBA-HB,5,19,4.250,5.100,85.850
LBA-HB,5,20,0.000,0.000,0.000
LBA-HB,5,21,16.000,4.800,30.400
LBA-HB,5,24,0.000,0.000,0.000
LBA-HB,5,28,0.000,0.000,0.000
LBA-HB,5,22,7.111,4.800,50.600
LBA-HB,5,23,4.250,5.100,85.850
LBA-HB,5,25,16.000,4.800,30.400
LBA-HB,5,26,7.111,4.800,50.600
LBA-HB,5,27,4.250,5.100,85.850
LBA-HB,5,29,16.000,4.800,30.400
LBA-HB,5,30,7.111,4.800,50.600
LBA-HB,5,31,4.250,5.100,85.850
LBA-HB,5,32,0.000,0.000,0.000
LBA-HB,5,33,16.000,4.800,30.400
LBA-HB,5,34,7.111,4.800,50.600
LBA-HB,5,35,4.250,5.100,85.850
LBA-HB,5,36,0.000,0.000,0.000
LBA-HB,5,37,16.000,4.800,30.400
LBA-HB,5,38,7.111,4.800,50.600
LBA-HB,5,40,0.000,0.000,0.000
LBA-HB,5,44,0.000,0.000,0.000
LBA-HB,5,39,4.250,5.100,85.850
LBA-HB,5,41,16.000,4.800,30.400
LBA-HB,5,42,7.111,4.800,50.600
LBA-HB,5,43,4.250,5.100,85.850
LBA-HB,5,45,16.000,4.800,30.400
LBA-HB,5,46,7.111,4.800,50.600
LBA-HB,5,47,4.250,5.100,85.850
LBA-HB,5,48,0.000,0.000,0.000
LBA-HB,5,49,16.000,4.800,30.400
LBA-HB,6,0,0.000,0.000,0.000
LBA-HB,6,1,18.000,5.400,34.200
LBA-HB,6,2,8.444,5.700,60.088
LBA-HB,6,3,4.750,5.700,95.950
LBA-HB,6,4,0.000,0.000,0.000
LBA-HB,6,5,18.000,5.400,34.200
LBA-HB,6,6,8.444,5.700,60.088
LBA-HB,6,7,4.750,5.700,95.950
LBA-HB,6,8,0.000,0.000,0.000
LBA-HB,6,9,18.000,5.400,34.200
LBA-HB,6,10,8.444,5.700,60.088
LBA-HB,6,11,4.750,5.700,95.950
LBA-HB,6,12,0.000,0.000,0.000
LBA-HB,6,13,19.000,5.700,36.100
LBA-HB,6,14,8.444,5.700,60.088
LBA-HB,6,15,4.750,5.700,95.950
LBA-HB,6,16,0.000,0.000,0.000
LBA-HB,6,17,19.000,5.700,36.100
LBA-HB,6,18,8.444,5.700,60.088
LBA-HB,6,19,4.750,5.700,95.950
LBA-HB,6,20,0.000,0.000,0.000
LBA-HB,6,21,19.000,5.700,36.100
LBA-HB,6,24,0.000,0.000,0.000
LBA-HB,6,28,0.000,0.000,0.000
LBA-HB,6,22,8.444,5.700,60.088
LBA-HB,6,23,4.750,5.700,95.950
LBA-HB,6,25,19.000,5.700,36.100
LBA-HB,6,26,8.444,5.700,60.088
LBA-HB,6,27,4.750,5.700,95.950
LBA-HB,6,29,19.000,5.700,36.100
LBA-HB,6,30,8.444,5.700,60.088
LBA-HB,6,31,4.750,5.700,95.950
LBA-HB,6,32,0.000,0.000,0.000
LBA-HB,6,33,19.000,5.700,36.100
LBA-HB,6,34,8.444,5.700,60.088
LBA-HB,6,35,4.750,5.700,95.950
LBA-HB,6,36,0.000,0.000,0.000
LBA-HB,6,37,19.000,5.700,36.100
LBA-HB,6,38,8.444,5.700,60.088
LBA-HB,6,40,0.000,0.000,0.000
LBA-HB,6,44,0.000,0.000,0.000
LBA-HB,6,39,4.750,5.700,95.950
LBA-HB,6,41,19.000,5.700,36.100
LBA-HB,6,42,8.444,5.700,60.088
LBA-HB,6,43,4.750,5.700,95.950
LBA-HB,6,45,19.000,5.700,36.100
LBA-HB,6,46,8.444,5.700,60.088
LBA-HB,6,47,4.750,5.700,95.950
LBA-HB,6,48,0.000,0.000,0.000
LBA-HB,6,49,19.000,5.700,36.100
LBA-HB,7,0,0.000,0.000,0.000
LBA-HB,7,1,21.000,6.300,39.900
LBA-HB,7,2,9.333,6.300,66.413
LBA-HB,7,3,5.500,6.600,111.100
LBA-HB,7,4,0.000,0.000,0.000
LBA-HB,7,5,21.000,6.300,39.900
LBA-HB,7,6,9.778,6.600,69.575
LBA-HB,7,7,5.500,6.600,111.100
LBA-HB,7,8,0.000,0.000,0.000
LBA-HB,7,9,21.000,6.300,39.900
LBA-HB,7,10,9.778,6.600,69.575
LBA-HB,7,11,5.500,6.600,111.100
LBA-HB,7,12,0.000,0.000,0.000
LBA-HB,7,13,21.000,6.300,39.900
LBA-HB,7,14,9.778,6.600,69.575
LBA-HB,7,15,5.500,6.600,111.100
LBA-HB,7,16,0.000,0.000,0.000
LBA-HB,7,17,21.000,6.300,39.900
LBA-HB,7,18,9.778,6.600,69.575
LBA-HB,7,19,5.500,6.600,111.100
LBA-HB,7,20,0.000,0.000,0.000
LBA-HB,7,21,21.000,6.300,39.900
LBA-HB,7,22,9.778,6.600,69.575
LBA-HB,7,23,5.500,6.600,111.100
LBA-HB,7,24,0.000,0.000,0.000
LBA-HB,7,25,21.000,6.300,39.900
LBA-HB,7,26,9.778,6.600,69.575
LBA-HB,7,27,5.500,6.600,111.100
LBA-HB,7,28,0.000,0.000,0.000
LBA-HB,7,29,21.000,6.300,39.900
LBA-HB,7,30,9.778,6.600,69.575
LBA-HB,7,31,5.500,6.600,111.100
LBA-HB,7,32,0.000,0.000,0.000
LBA-HB,7,33,21.000,6.300,39.900
LBA-HB,7,34,9.778,6.600,69.575
LBA-HB,7,35,5.500,6.600,111.100
LBA-HB,7,36,0.000,0.000,0.000
LBA-HB,7,37,21.000,6.300,39.900
LBA-HB,7,38,9.778,6.600,69.575
LBA-HB,7,39,5.500,6.600,111.100
LBA-HB,7,40,0.000,0.000,0.000
LBA-HB,7,41,21.000,6.300,39.900
LBA-HB,7,42,9.778,6.600,69.575
LBA-HB,7,43,5.500,6.600,111.100
LBA-HB,7,44,0.000,0.000,0.000
LBA-HB,7,45,21.000,6.300,39.900
LBA-HB,7,46,9.778,6.600,69.575
LBA-HB,7,48,0.000,0.000,0.000
LBA-HB,7,49,21.000,6.300,39.900
LBA-HB,7,47,5.500,6.600,111.100
LBA-HB,8,0,0.000,0.000,0.000
LBA-HB,8,1,24.000,7.200,45.600
LBA-HB,8,2,10.667,7.200,75.900
LBA-HB,8,3,6.250,7.500,126.250
LBA-HB,8,4,0.000,0.000,0.000
LBA-HB,8,5,24.000,7.200,45.600
LBA-HB,8,6,10.667,7.200,75.900
LBA-HB,8,7,6.250,7.500,126.250
LBA-HB,8,8,0.000,0.000,0.000
LBA-HB,8,12,0.000,0.000,0.000
LBA-HB,8,9,24.000,7.200,45.600
LBA-HB,8,10,10.667,7.200,75.900
LBA-HB,8,11,6.250,7.500,126.250
LBA-HB,8,13,24.000,7.200,45.600
LBA-HB,8,14,10.667,7.200,75.900
LBA-HB,8,15,6.250,7.500,126.250
LBA-HB,8,16,0.000,0.000,0.000
LBA-HB,8,17,24.000,7.200,45.600
LBA-HB,8,20,0.000,0.000,0.000
LBA-HB,8,18,10.667,7.200,75.900
LBA-HB,8,19,6.250,7.500,126.250
LBA-HB,8,21,24.000,7.200,45.600
LBA-HB,8,22,10.667,7.200,75.900
LBA-HB,8,23,6.250,7.500,126.250
LBA-HB,8,24,0.000,0.000,0.000
LBA-HB,8,25,24.000,7.200,45.600
LBA-HB,8,26,10.667,7.200,75.900
LBA-HB,8,27,6.250,7.500,126.250
LBA-HB,8,28,0.000,0.000,0.000
LBA-HB,8,29,24.000,7.200,45.600
LBA-HB,8,30,10.667,7.200,75.900
LBA-HB,8,31,6.250,7.500,126.250
LBA-HB,8,32,0.000,0.000,0.000
LBA-HB,8,33,24.000,7.200,45.600
LBA-HB,8,34,10.667,7.200,75.900
LBA-HB,8,35,6.250,7.500,126.250
LBA-HB,8,36,0.000,0.000,0.000
LBA-HB,8,37,24.000,7.200,45.600
LBA-HB,8,38,10.667,7.200,75.900
LBA-HB,8,40,0.000,0.000,0.000
LBA-HB,8,44,0.000,0.000,0.000
LBA-HB,8,39,6.250,7.500,126.250
LBA-HB,8,41,24.000,7.200,45.600
LBA-HB,8,42,10.667,7.200,75.900
LBA-HB,8,43,6.250,7.500,126.250
LBA-HB,8,45,24.000,7.200,45.600
LBA-HB,8,46,10.667,7.200,75.900
LBA-HB,8,48,0.000,0.000,0.000
LBA-HB,8,49,24.000,7.200,45.600
LBA-HB,8,47,6.250,7.500,126.250
LBA-HB,9,0,0.000,0.000,0.000
LBA-HB,9,1,27.000,8.100,51.300
LBA-HB,9,2,12.000,8.100,85.387
LBA-HB,9,3,6.750,8.100,136.350
LBA-HB,9,4,0.000,0.000,0.000
LBA-HB,9,5,27.000,8.100,51.300
LBA-HB,9,6,12.000,8.100,85.387
LBA-HB,9,7,6.750,8.100,136.350
LBA-HB,9,8,0.000,0.000,0.000
LBA-HB,9,9,27.000,8.100,51.300
LBA-HB,9,10,12.000,8.100,85.387
LBA-HB,9,11,6.750,8.100,136.350
LBA-HB,9,12,0.000,0.000,0.000
LBA-HB,9,13,27.000,8.100,51.300
LBA-HB,9,14,12.000,8.100,85.387
LBA-HB,9,15,6.750,8.100,136.350
LBA-HB,9,16,0.000,0.000,0.000
LBA-HB,9,17,27.000,8.100,51.300
LBA-HB,9,18,12.000,8.100,85.387
LBA-HB,9,19,6.750,8.100,136.350
LBA-HB,9,20,0.000,0.000,0.000
LBA-HB,9,21,27.000,8.100,51.300
LBA-HB,9,22,12.000,8.100,85.387
LBA-HB,9,23,6.750,8.100,136.350
LBA-HB,9,24,0.000,0.000,0.000
LBA-HB,9,25,27.000,8.100,51.300
LBA-HB,9,28,0.000,0.000,0.000
LBA-HB,9,29,27.000,8.100,51.300
LBA-HB,9,26,12.000,8.100,85.387
LBA-HB,9,27,6.750,8.100,136.350
LBA-HB,9,30,12.000,8.100,85.387
LBA-HB,9,31,6.750,8.100,136.350
LBA-HB,9,32,0.000,0.000,0.000
LBA-HB,9,33,27.000,8.100,51.300
LBA-HB,9,34,12.000,8.100,85.387
LBA-HB,9,36,0.000,0.000,0.000
LBA-HB,9,35,6.750,8.100,136.350
LBA-HB,9,37,27.000,8.100,51.300
LBA-HB,9,38,12.000,8.100,85.387
LBA-HB,9,39,6.750,8.100,136.350
LBA-HB,9,40,0.000,0.000,0.000
LBA-HB,9,41,27.000,8.100,51.300
LBA-HB,9,42,12.000,8.100,85.387
LBA-HB,9,43,6.750,8.100,136.350
LBA-HB,9,44,0.000,0.000,0.000
LBA-HB,9,45,27.000,8.100,51.300
LBA-HB,9,46,12.000,8.100,85.387
LBA-HB,9,47,7.000,8.400,141.400
LBA-HB,9,48,0.000,0.000,0.000
LBA-HB,9,49,27.000,8.100,51.300
LBA-HB,10,0,0.000,0.000,0.000
LBA-HB,10,1,4.000,0.600,3.800
LBA-HB,10,2,2.667,0.900,9.488
LBA-HB,10,3,1.500,0.900,15.150
LBA-HB,10,4,0.000,0.000,0.000
LBA-HB,10,5,4.000,0.600,3.800
LBA-HB,10,6,2.667,0.900,9.488
LBA-HB,10,7,1.500,0.900,15.150
LBA-HB,10,8,0.000,0.000,0.000
LBA-HB,10,9,4.000,0.600,3.800
LBA-HB,10,10,2.667,0.900,9.488
LBA-HB,10,11,1.500,0.900,15.150
LBA-HB,10,12,0.000,0.000,0.000
LBA-HB,10,13,4.000,0.600,3.800
LBA-HB,10,14,2.667,0.900,9.488
LBA-HB,10,15,1.500,0.900,15.150
LBA-HB,10,16,0.000,0.000,0.000
LBA-HB,10,17,4.000,0.600,3.800
LBA-HB,10,20,0.000,0.000,0.000
LBA-HB,10,18,2.667,0.900,9.488
LBA-HB,10,19,1.500,0.900,15.150
LBA-HB,10,21,4.000,0.600,3.800
LBA-HB,10,22,2.667,0.900,9.488
LBA-HB,10,23,1.500,0.900,15.150
LBA-HB,10,24,0.000,0.000,0.000
LBA-HB,10,25,4.000,0.600,3.800
LBA-HB,10,26,2.667,0.900,9.488
LBA-HB,10,27,1.500,0.900,15.150
LBA-HB,10,28,0.000,0.000,0.000
LBA-HB,10,29,4.000,0.600,3.800
LBA-HB,10,30,2.667,0.900,9.488
LBA-HB,10,31,1.500,0.900,15.150
LBA-HB,10,32,0.000,0.000,0.000
LBA-HB,10,33,4.000,0.600,3.800
LBA-HB,10,34,2.667,0.900,9.488
LBA-HB,10,35,1.500,0.900,15.150
LBA-HB,10,36,0.000,0.000,0.000
LBA-HB,10,37,4.000,0.600,3.800
LBA-HB,10,38,2.667,0.900,9.488
LBA-HB,10,40,0.000,0.000,0.000
LBA-HB,10,44,0.000,0.000,0.000
LBA-HB,10,39,1.500,0.900,15.150
LBA-HB,10,41,4.000,0.600,3.800
LBA-HB,10,42,2.667,0.900,9.488
LBA-HB,10,43,1.500,0.900,15.150
LBA-HB,10,45,6.000,0.900,5.700
LBA-HB,10,46,2.667,0.900,9.488
LBA-HB,10,47,1.500,0.900,15.150
LBA-HB,10,48,0.000,0.000,0.000
LBA-HB,10,49,6.000,0.900,5.700
LBA-HB,11,0,0.000,0.000,0.000
LBA-HB,11,1,10.000,1.500,9.500
LBA-HB,11,2,4.444,1.500,15.813
LBA-HB,11,3,3.000,1.800,30.300
LBA-HB,11,4,0.000,0.000,0.000
LBA-HB,11,5,10.000,1.500,9.500
LBA-HB,11,6,4.444,1.500,15.813
LBA-HB,11,7,3.000,1.800,30.300
LBA-HB,11,8,0.000,0.000,0.000
LBA-HB,11,9,10.000,1.500,9.500
LBA-HB,11,10,4.444,1.500,15.813
LBA-HB,11,11,3.000,1.800,30.300
LBA-HB,11,12,0.000,0.000,0.000
LBA-HB,11,13,10.000,1.500,9.500
LBA-HB,11,14,4.444,1.500,15.813
LBA-HB,11,15,3.000,1.800,30.300
LBA-HB,11,16,0.000,0.000,0.000
LBA-HB,11,17,10.000,1.500,9.500
LBA-HB,11,20,0.000,0.000,0.000
LBA-HB,11,18,4.444,1.500,15.813
LBA-HB,11,19,3.000,1.800,30.300
LBA-HB,11,21,10.000,1.500,9.500
LBA-HB,11,22,4.444,1.500,15.813
LBA-HB,11,23,3.000,1.800,30.300
LBA-HB,11,24,0.000,0.000,0.000
LBA-HB,11,25,10.000,1.500,9.500
LBA-HB,11,28,0.000,0.000,0.000
LBA-HB,11,29,10.000,1.500,9.500
LBA-HB,11,26,4.444,1.500,15.813
LBA-HB,11,27,3.000,1.800,30.300
LBA-HB,11,30,4.444,1.500,15.813
LBA-HB,11,31,3.000,1.800,30.300
LBA-HB,11,32,0.000,0.000,0.000
LBA-HB,11,33,10.000,1.500,9.500
LBA-HB,11,34,4.444,1.500,15.813
LBA-HB,11,35,3.000,1.800,30.300
LBA-HB,11,36,0.000,0.000,0.000
LBA-HB,11,37,10.000,1.500,9.500
LBA-HB,11,38,5.333,1.800,18.975
LBA-HB,11,39,3.000,1.800,30.300
LBA-HB,11,40,0.000,0.000,0.000
LBA-HB,11,41,10.000,1.500,9.500
LBA-HB,11,42,5.333,1.800,18.975
LBA-HB,11,44,0.000,0.000,0.000
LBA-HB,11,45,10.000,1.500,9.500
LBA-HB,11,43,3.000,1.800,30.300
LBA-HB,11,46,5.333,1.800,18.975
LBA-HB,11,47,3.000,1.800,30.300
LBA-HB,11,48,0.000,0.000,0.000
LBA-HB,11,49,10.000,1.500,9.500
LBA-HB,12,0,0.000,0.000,0.000
LBA-HB,12,1,16.000,2.400,15.200
LBA-HB,12,2,7.111,2.400,25.300
LBA-HB,12,3,4.000,2.400,40.400
LBA-HB,12,4,0.000,0.000,0.000
LBA-HB,12,5,16.000,2.400,15.200
