Algorithm,Experiment,VMid,RT,Cost,Power
LBA-HB,96,7,47.500,5.700,95.950
LBA-HB,96,8,0.000,0.000,0.000
LBA-HB,96,9,180.000,5.400,34.200
LBA-HB,96,10,84.444,5.700,60.088
LBA-HB,96,11,47.500,5.700,95.950
LBA-HB,96,12,0.000,0.000,0.000
LBA-HB,96,13,190.000,5.700,36.100
LBA-HB,96,14,84.444,5.700,60.088
LBA-HB,96,15,47.500,5.700,95.950
LBA-HB,96,16,0.000,0.000,0.000
LBA-HB,96,17,190.000,5.700,36.100
LBA-HB,96,18,84.444,5.700,60.088
LBA-HB,96,19,47.500,5.700,95.950
LBA-HB,96,20,0.000,0.000,0.000
LBA-HB,96,21,190.000,5.700,36.100
LBA-HB,96,24,0.000,0.000,0.000
LBA-HB,96,28,0.000,0.000,0.000
LBA-HB,96,22,84.444,5.700,60.088
LBA-HB,96,23,47.500,5.700,95.950
LBA-HB,96,25,190.000,5.700,36.100
LBA-HB,96,26,84.444,5.700,60.088
LBA-HB,96,27,47.500,5.700,95.950
LBA-HB,96,29,190.000,5.700,36.100
LBA-HB,96,30,84.444,5.700,60.088
LBA-HB,96,31,47.500,5.700,95.950
LBA-HB,96,32,0.000,0.000,0.000
LBA-HB,96,33,190.000,5.700,36.100
LBA-HB,96,34,84.444,5.700,60.088
LBA-HB,96,35,47.500,5.700,95.950
LBA-HB,96,36,0.000,0.000,0.000
LBA-HB,96,37,190.000,5.700,36.100
LBA-HB,96,38,84.444,5.700,60.088
LBA-HB,96,40,0.000,0.000,0.000
LBA-HB,96,44,0.000,0.000,0.000
LBA-HB,96,39,47.500,5.700,95.950
LBA-HB,96,41,190.000,5.700,36.100
LBA-HB,96,42,84.444,5.700,60.088
LBA-HB,96,43,47.500,5.700,95.950
LBA-HB,96,45,190.000,5.700,36.100
LBA-HB,96,46,84.444,5.700,60.088
LBA-HB,96,48,0.000,0.000,0.000
LBA-HB,96,49,190.000,5.700,36.100
LBA-HB,96,47,47.500,5.700,95.950
LBA-HB,97,0,0.000,0.000,0.000
LBA-HB,97,1,210.000,6.300,39.900
LBA-HB,97,2,93.333,6.300,66.413
LBA-HB,97,3,55.000,6.600,111.100
LBA-HB,97,4,0.000,0.000,0.000
LBA-HB,97,5,210.000,6.300,39.900
LBA-HB,97,6,97.778,6.600,69.575
LBA-HB,97,7,55.000,6.600,111.100
LBA-HB,97,8,0.000,0.000,0.000
LBA-HB,97,12,0.000,0.000,0.000
LBA-HB,97,9,210.000,6.300,39.900
LBA-HB,97,10,97.778,6.600,69.575
LBA-HB,97,11,55.000,6.600,111.100
LBA-HB,97,13,210.000,6.300,39.900
LBA-HB,97,14,97.778,6.600,69.575
LBA-HB,97,15,55.000,6.600,111.100
LBA-HB,97,16,0.000,0.000,0.000
LBA-HB,97,17,210.000,6.300,39.900
LBA-HB,97,18,97.778,6.600,69.575
LBA-HB,97,19,55.000,6.600,111.100
LBA-HB,97,20,0.000,0.000,0.000
LBA-HB,97,21,210.000,6.300,39.900
LBA-HB,97,24,0.000,0.000,0.000
LBA-HB,97,28,0.000,0.000,0.000
LBA-HB,97,22,97.778,6.600,69.575
LBA-HB,97,23,55.000,6.600,111.100
LBA-HB,97,25,210.000,6.300,39.900
LBA-HB,97,26,97.778,6.600,69.575
LBA-HB,97,27,55.000,6.600,111.100
LBA-HB,97,29,210.000,6.300,39.900
LBA-HB,97,30,97.778,6.600,69.575
LBA-HB,97,31,55.000,6.600,111.100
LBA-HB,97,32,0.000,0.000,0.000
LBA-HB,97,33,210.000,6.300,39.900
LBA-HB,97,34,97.778,6.600,69.575
LBA-HB,97,36,0.000,0.000,0.000
LBA-HB,97,35,55.000,6.600,111.100
LBA-HB,97,37,210.000,6.300,39.900
LBA-HB,97,38,97.778,6.600,69.575
LBA-HB,97,39,55.000,6.600,111.100
LBA-HB,97,40,0.000,0.000,0.000
LBA-HB,97,41,210.000,6.300,39.900
LBA-HB,97,42,97.778,6.600,69.575
LBA-HB,97,43,55.000,6.600,111.100
LBA-HB,97,44,0.000,0.000,0.000
LBA-HB,97,45,210.000,6.300,39.900
LBA-HB,97,46,97.778,6.600,69.575
LBA-HB,97,47,55.000,6.600,111.100
LBA-HB,97,48,0.000,0.000,0.000
LBA-HB,97,49,210.000,6.300,39.900
LBA-HB,98,0,0.000,0.000,0.000
LBA-HB,98,1,240.000,7.200,45.600
LBA-HB,98,2,106.667,7.200,75.900
LBA-HB,98,3,62.500,7.500,126.250
LBA-HB,98,4,0.000,0.000,0.000
LBA-HB,98,5,240.000,7.200,45.600
LBA-HB,98,6,106.667,7.200,75.900
LBA-HB,98,7,62.500,7.500,126.250
LBA-HB,98,8,0.000,0.000,0.000
LBA-HB,98,12,0.000,0.000,0.000
LBA-HB,98,9,240.000,7.200,45.600
LBA-HB,98,10,106.667,7.200,75.900
LBA-HB,98,11,62.500,7.500,126.250
LBA-HB,98,13,240.000,7.200,45.600
LBA-HB,98,14,106.667,7.200,75.900
LBA-HB,98,15,62.500,7.500,126.250
LBA-HB,98,16,0.000,0.000,0.000
LBA-HB,98,17,240.000,7.200,45.600
LBA-HB,98,18,106.667,7.200,75.900
LBA-HB,98,19,62.500,7.500,126.250
LBA-HB,98,20,0.000,0.000,0.000
LBA-HB,98,21,240.000,7.200,45.600
LBA-HB,98,22,106.667,7.200,75.900
LBA-HB,98,23,62.500,7.500,126.250
LBA-HB,98,24,0.000,0.000,0.000
LBA-HB,98,25,240.000,7.200,45.600
LBA-HB,98,28,0.000,0.000,0.000
LBA-HB,98,29,240.000,7.200,45.600
LBA-HB,98,26,106.667,7.200,75.900
LBA-HB,98,27,62.500,7.500,126.250
LBA-HB,98,30,106.667,7.200,75.900
LBA-HB,98,31,62.500,7.500,126.250
LBA-HB,98,32,0.000,0.000,0.000
LBA-HB,98,33,240.000,7.200,45.600
LBA-HB,98,34,106.667,7.200,75.900
LBA-HB,98,35,62.500,7.500,126.250
LBA-HB,98,36,0.000,0.000,0.000
LBA-HB,98,37,240.000,7.200,45.600
LBA-HB,98,38,106.667,7.200,75.900
LBA-HB,98,40,0.000,0.000,0.000
LBA-HB,98,44,0.000,0.000,0.000
LBA-HB,98,39,62.500,7.500,126.250
LBA-HB,98,41,240.000,7.200,45.600
LBA-HB,98,42,106.667,7.200,75.900
LBA-HB,98,43,62.500,7.500,126.250
LBA-HB,98,45,240.000,7.200,45.600
LBA-HB,98,46,106.667,7.200,75.900
LBA-HB,98,47,62.500,7.500,126.250
LBA-HB,98,48,0.000,0.000,0.000
LBA-HB,98,49,240.000,7.200,45.600
LBA-HB,99,0,0.000,0.000,0.000
LBA-HB,99,1,270.000,8.100,51.300
LBA-HB,99,2,120.000,8.100,85.387
LBA-HB,99,3,67.500,8.100,136.350
LBA-HB,99,4,0.000,0.000,0.000
LBA-HB,99,5,270.000,8.100,51.300
LBA-HB,99,6,120.000,8.100,85.387
LBA-HB,99,7,67.500,8.100,136.350
LBA-HB,99,8,0.000,0.000,0.000
LBA-HB,99,9,270.000,8.100,51.300
LBA-HB,99,10,120.000,8.100,85.387
LBA-HB,99,11,67.500,8.100,136.350
LBA-HB,99,12,0.000,0.000,0.000
LBA-HB,99,13,270.000,8.100,51.300
LBA-HB,99,14,120.000,8.100,85.387
LBA-HB,99,15,67.500,8.100,136.350
LBA-HB,99,16,0.000,0.000,0.000
LBA-HB,99,17,270.000,8.100,51.300
LBA-HB,99,18,120.000,8.100,85.387
LBA-HB,99,19,67.500,8.100,136.350
LBA-HB,99,20,0.000,0.000,0.000
LBA-HB,99,21,270.000,8.100,51.300
LBA-HB,99,24,0.000,0.000,0.000
LBA-HB,99,28,0.000,0.000,0.000
LBA-HB,99,22,120.000,8.100,85.387
LBA-HB,99,23,67.500,8.100,136.350
LBA-HB,99,25,270.000,8.100,51.300
LBA-HB,99,26,120.000,8.100,85.387
LBA-HB,99,27,67.500,8.100,136.350
LBA-HB,99,29,270.000,8.100,51.300
LBA-HB,99,30,120.000,8.100,85.387
LBA-HB,99,31,67.500,8.100,136.350
LBA-HB,99,32,0.000,0.000,0.000
LBA-HB,99,33,270.000,8.100,51.300
LBA-HB,99,34,120.000,8.100,85.387
LBA-HB,99,35,67.500,8.100,136.350
LBA-HB,99,36,0.000,0.000,0.000
LBA-HB,99,37,270.000,8.100,51.300
LBA-HB,99,38,120.000,8.100,85.387
LBA-HB,99,40,0.000,0.000,0.000
LBA-HB,99,44,0.000,0.000,0.000
LBA-HB,99,39,67.500,8.100,136.350
LBA-HB,99,41,270.000,8.100,51.300
LBA-HB,99,42,120.000,8.100,85.387
LBA-HB,99,43,67.500,8.100,136.350
LBA-HB,99,45,270.000,8.100,51.300
LBA-HB,99,46,120.000,8.100,85.387
LBA-HB,99,47,70.000,8.400,141.400
LBA-HB,99,48,0.000,0.000,0.000
LBA-HB,99,49,270.000,8.100,51.300
HBB-LB,0,0,4104.000,11.400,22.088
HBB-LB,0,1,1026.000,11.400,44.175
HBB-LB,0,2,456.000,11.400,66.262
HBB-LB,0,3,256.500,11.400,88.350
HBB-LB,0,4,4104.000,11.400,22.088
HBB-LB,0,5,1026.000,11.400,44.175
HBB-LB,0,6,456.000,11.400,66.262
HBB-LB,0,7,256.500,11.400,88.350
HBB-LB,0,8,4104.000,11.400,22.088
HBB-LB,0,9,1026.000,11.400,44.175
HBB-LB,0,10,456.000,11.400,66.262
HBB-LB,0,11,256.500,11.400,88.350
HBB-LB,0,12,4104.000,11.400,22.088
HBB-LB,0,13,1026.000,11.400,44.175
HBB-LB,0,14,456.000,11.400,66.262
HBB-LB,0,15,256.500,11.400,88.350
HBB-LB,0,16,4104.000,11.400,22.088
HBB-LB,0,17,1026.000,11.400,44.175
HBB-LB,0,18,456.000,11.400,66.262
HBB-LB,0,19,256.500,11.400,88.350
HBB-LB,0,20,4104.000,11.400,22.088
HBB-LB,0,21,1026.000,11.400,44.175
HBB-LB,0,22,456.000,11.400,66.262
HBB-LB,0,23,256.500,11.400,88.350
HBB-LB,0,24,4104.000,11.400,22.088
HBB-LB,0,25,1026.000,11.400,44.175
HBB-LB,0,28,4104.000,11.400,22.088
HBB-LB,0,26,456.000,11.400,66.262
HBB-LB,0,27,256.500,11.400,88.350
HBB-LB,0,29,1026.000,11.400,44.175
HBB-LB,0,30,456.000,11.400,66.262
HBB-LB,0,31,256.500,11.400,88.350
HBB-LB,0,32,4104.000,11.400,22.088
HBB-LB,0,33,1026.000,11.400,44.175
HBB-LB,0,34,456.000,11.400,66.262
HBB-LB,0,35,256.500,11.400,88.350
HBB-LB,0,36,4104.000,11.400,22.088
HBB-LB,0,37,1026.000,11.400,44.175
HBB-LB,0,38,456.000,11.400,66.262
HBB-LB,0,39,256.500,11.400,88.350
HBB-LB,0,40,4104.000,11.400,22.088
HBB-LB,0,41,1026.000,11.400,44.175
HBB-LB,0,42,456.000,11.400,66.262
HBB-LB,0,43,256.500,11.400,88.350
HBB-LB,0,44,4104.000,11.400,22.088
HBB-LB,0,45,1026.000,11.400,44.175
HBB-LB,0,46,456.000,11.400,66.262
HBB-LB,0,47,256.500,11.400,88.350
HBB-LB,0,48,4104.000,11.400,22.088
HBB-LB,0,49,1026.000,11.400,44.175
HBB-LB,1,0,3888.000,10.800,20.925
HBB-LB,1,1,972.000,10.800,41.850
HBB-LB,1,2,432.000,10.800,62.775
HBB-LB,1,3,243.000,10.800,83.700
HBB-LB,1,4,3888.000,10.800,20.925
HBB-LB,1,5,972.000,10.800,41.850
HBB-LB,1,6,432.000,10.800,62.775
HBB-LB,1,7,243.000,10.800,83.700
HBB-LB,1,8,3888.000,10.800,20.925
HBB-LB,1,9,972.000,10.800,41.850
HBB-LB,1,10,432.000,10.800,62.775
HBB-LB,1,11,243.000,10.800,83.700
HBB-LB,1,12,3888.000,10.800,20.925
HBB-LB,1,13,972.000,10.800,41.850
HBB-LB,1,14,432.000,10.800,62.775
HBB-LB,1,15,243.000,10.800,83.700
HBB-LB,1,16,3888.000,10.800,20.925
HBB-LB,1,17,972.000,10.800,41.850
HBB-LB,1,18,432.000,10.800,62.775
HBB-LB,1,19,243.000,10.800,83.700
HBB-LB,1,20,3888.000,10.800,20.925
HBB-LB,1,21,972.000,10.800,41.850
HBB-LB,1,22,432.000,10.800,62.775
HBB-LB,1,23,243.000,10.800,83.700
HBB-LB,1,24,3888.000,10.800,20.925
HBB-LB,1,25,972.000,10.800,41.850
HBB-LB,1,28,3888.000,10.800,20.925
HBB-LB,1,26,432.000,10.800,62.775
HBB-LB,1,27,243.000,10.800,83.700
HBB-LB,1,29,972.000,10.800,41.850
HBB-LB,1,30,432.000,10.800,62.775
HBB-LB,1,31,243.000,10.800,83.700
HBB-LB,1,32,3888.000,10.800,20.925
HBB-LB,1,33,972.000,10.800,41.850
HBB-LB,1,34,432.000,10.800,62.775
HBB-LB,1,35,243.000,10.800,83.700
HBB-LB,1,36,3888.000,10.800,20.925
HBB-LB,1,37,972.000,10.800,41.850
HBB-LB,1,38,432.000,10.800,62.775
HBB-LB,1,39,243.000,10.800,83.700
HBB-LB,1,40,3888.000,10.800,20.925
HBB-LB,1,41,972.000,10.800,41.850
HBB-LB,1,42,432.000,10.800,62.775
HBB-LB,1,43,243.000,10.800,83.700
HBB-LB,1,44,3888.000,10.800,20.925
HBB-LB,1,45,972.000,10.800,41.850
HBB-LB,1,46,432.000,10.800,62.775
HBB-LB,1,47,243.000,10.800,83.700
HBB-LB,1,48,3888.000,10.800,20.925
HBB-LB,1,49,972.000,10.800,41.850
HBB-LB,2,0,3672.000,10.200,19.763
HBB-LB,2,1,918.000,10.200,39.525
HBB-LB,2,2,408.000,10.200,59.287
HBB-LB,2,3,229.500,10.200,79.050
HBB-LB,2,4,3672.000,10.200,19.763
HBB-LB,2,5,918.000,10.200,39.525
HBB-LB,2,6,408.000,10.200,59.287
HBB-LB,2,7,229.500,10.200,79.050
HBB-LB,2,8,3672.000,10.200,19.763
HBB-LB,2,9,918.000,10.200,39.525
HBB-LB,2,10,408.000,10.200,59.287
HBB-LB,2,11,229.500,10.200,79.050
HBB-LB,2,12,3672.000,10.200,19.763
HBB-LB,2,13,918.000,10.200,39.525
HBB-LB,2,14,408.000,10.200,59.287
HBB-LB,2,15,229.500,10.200,79.050
HBB-LB,2,16,3672.000,10.200,19.763
HBB-LB,2,17,918.000,10.200,39.525
HBB-LB,2,18,408.000,10.200,59.287
HBB-LB,2,19,229.500,10.200,79.050
HBB-LB,2,20,3672.000,10.200,19.763
HBB-LB,2,21,918.000,10.200,39.525
HBB-LB,2,22,408.000,10.200,59.287
HBB-LB,2,23,229.500,10.200,79.050
HBB-LB,2,24,3672.000,10.200,19.763
HBB-LB,2,25,918.000,10.200,39.525
HBB-LB,2,28,3672.000,10.200,19.763
HBB-LB,2,26,408.000,10.200,59.287
HBB-LB,2,27,229.500,10.200,79.050
HBB-LB,2,29,918.000,10.200,39.525
HBB-LB,2,30,408.000,10.200,59.287
HBB-LB,2,31,229.500,10.200,79.050
HBB-LB,2,32,3672.000,10.200,19.763
HBB-LB,2,33,918.000,10.200,39.525
HBB-LB,2,34,408.000,10.200,59.287
HBB-LB,2,35,229.500,10.200,79.050
HBB-LB,2,36,3672.000,10.200,19.763
HBB-LB,2,37,918.000,10.200,39.525
HBB-LB,2,38,408.000,10.200,59.287
HBB-LB,2,39,229.500,10.200,79.050
HBB-LB,2,40,3672.000,10.200,19.763
HBB-LB,2,41,918.000,10.200,39.525
HBB-LB,2,42,408.000,10.200,59.287
HBB-LB,2,43,229.500,10.200,79.050
HBB-LB,2,44,3672.000,10.200,19.763
HBB-LB,2,45,918.000,10.200,39.525
HBB-LB,2,46,408.000,10.200,59.287
HBB-LB,2,47,229.500,10.200,79.050
HBB-LB,2,48,3672.000,10.200,19.763
HBB-LB,2,49,918.000,10.200,39.525
HBB-LB,3,0,3456.000,9.600,18.600
HBB-LB,3,1,864.000,9.600,37.200
HBB-LB,3,2,384.000,9.600,55.800
HBB-LB,3,3,216.000,9.600,74.400
HBB-LB,3,4,3456.000,9.600,18.600
HBB-LB,3,5,864.000,9.600,37.200
HBB-LB,3,6,384.000,9.600,55.800
HBB-LB,3,7,216.000,9.600,74.400
HBB-LB,3,8,3456.000,9.600,18.600
HBB-LB,3,9,864.000,9.600,37.200
HBB-LB,3,10,384.000,9.600,55.800
HBB-LB,3,11,216.000,9.600,74.400
HBB-LB,3,12,3456.000,9.600,18.600
HBB-LB,3,13,864.000,9.600,37.200
HBB-LB,3,14,384.000,9.600,55.800
HBB-LB,3,15,216.000,9.600,74.400
HBB-LB,3,16,3456.000,9.600,18.600
HBB-LB,3,17,864.000,9.600,37.200
HBB-LB,3,18,384.000,9.600,55.800
HBB-LB,3,19,216.000,9.600,74.400
HBB-LB,3,20,3456.000,9.600,18.600
HBB-LB,3,21,864.000,9.600,37.200
HBB-LB,3,22,384.000,9.600,55.800
HBB-LB,3,23,216.000,9.600,74.400
HBB-LB,3,24,3456.000,9.600,18.600
HBB-LB,3,25,864.000,9.600,37.200
HBB-LB,3,28,3456.000,9.600,18.600
HBB-LB,3,26,384.000,9.600,55.800
HBB-LB,3,27,216.000,9.600,74.400
HBB-LB,3,29,864.000,9.600,37.200
HBB-LB,3,30,384.000,9.600,55.800
HBB-LB,3,31,216.000,9.600,74.400
HBB-LB,3,32,3456.000,9.600,18.600
HBB-LB,3,33,864.000,9.600,37.200
HBB-LB,3,34,384.000,9.600,55.800
HBB-LB,3,35,216.000,9.600,74.400
HBB-LB,3,36,3456.000,9.600,18.600
HBB-LB,3,37,864.000,9.600,37.200
HBB-LB,3,38,384.000,9.600,55.800
HBB-LB,3,39,216.000,9.600,74.400
HBB-LB,3,40,3456.000,9.600,18.600
HBB-LB,3,41,864.000,9.600,37.200
HBB-LB,3,42,384.000,9.600,55.800
HBB-LB,3,43,216.000,9.600,74.400
HBB-LB,3,44,3456.000,9.600,18.600
HBB-LB,3,45,864.000,9.600,37.200
HBB-LB,3,46,384.000,9.600,55.800
HBB-LB,3,47,216.000,9.600,74.400
HBB-LB,3,48,3456.000,9.600,18.600
HBB-LB,3,49,864.000,9.600,37.200
HBB-LB,4,0,3240.000,9.000,17.438
HBB-LB,4,1,810.000,9.000,34.875
HBB-LB,4,2,360.000,9.000,52.312
HBB-LB,4,3,202.500,9.000,69.750
HBB-LB,4,4,3240.000,9.000,17.438
HBB-LB,4,5,810.000,9.000,34.875
HBB-LB,4,6,360.000,9.000,52.312
HBB-LB,4,7,202.500,9.000,69.750
HBB-LB,4,8,3240.000,9.000,17.438
HBB-LB,4,9,810.000,9.000,34.875
HBB-LB,4,10,360.000,9.000,52.312
HBB-LB,4,11,202.500,9.000,69.750
HBB-LB,4,12,3240.000,9.000,17.438
HBB-LB,4,13,810.000,9.000,34.875
HBB-LB,4,14,360.000,9.000,52.312
HBB-LB,4,15,202.500,9.000,69.750
HBB-LB,4,16,3240.000,9.000,17.438
HBB-LB,4,17,810.000,9.000,34.875
HBB-LB,4,18,360.000,9.000,52.312
HBB-LB,4,19,202.500,9.000,69.750
HBB-LB,4,20,3240.000,9.000,17.438
HBB-LB,4,21,810.000,9.000,34.875
HBB-LB,4,22,360.000,9.000,52.312
HBB-LB,4,23,202.500,9.000,69.750
HBB-LB,4,24,3240.000,9.000,17.438
HBB-LB,4,25,810.000,9.000,34.875
HBB-LB,4,28,3240.000,9.000,17.438
HBB-LB,4,26,360.000,9.000,52.312
HBB-LB,4,27,202.500,9.000,69.750
HBB-LB,4,29,810.000,9.000,34.875
HBB-LB,4,30,360.000,9.000,52.312
HBB-LB,4,31,202.500,9.000,69.750
HBB-LB,4,32,3240.000,9.000,17.438
HBB-LB,4,33,810.000,9.000,34.875
HBB-LB,4,34,360.000,9.000,52.312
HBB-LB,4,35,202.500,9.000,69.750
HBB-LB,4,36,3240.000,9.000,17.438
HBB-LB,4,37,810.000,9.000,34.875
HBB-LB,4,38,360.000,9.000,52.312
HBB-LB,4,39,202.500,9.000,69.750
HBB-LB,4,40,3240.000,9.000,17.438
HBB-LB,4,41,810.000,9.000,34.875
HBB-LB,4,42,360.000,9.000,52.312
HBB-LB,4,43,202.500,9.000,69.750
HBB-LB,4,44,3240.000,9.000,17.438
HBB-LB,4,45,810.000,9.000,34.875
HBB-LB,4,46,360.000,9.000,52.312
HBB-LB,4,47,202.500,9.000,69.750
HBB-LB,4,48,3240.000,9.000,17.438
HBB-LB,4,49,810.000,9.000,34.875
HBB-LB,5,0,3024.000,8.400,16.275
HBB-LB,5,1,756.000,8.400,32.550
HBB-LB,5,2,336.000,8.400,48.825
HBB-LB,5,3,189.000,8.400,65.100
HBB-LB,5,4,3024.000,8.400,16.275
HBB-LB,5,5,756.000,8.400,32.550
HBB-LB,5,6,336.000,8.400,48.825
HBB-LB,5,7,189.000,8.400,65.100
HBB-LB,5,8,3024.000,8.400,16.275
HBB-LB,5,9,756.000,8.400,32.550
HBB-LB,5,10,336.000,8.400,48.825
HBB-LB,5,11,189.000,8.400,65.100
HBB-LB,5,12,3024.000,8.400,16.275
HBB-LB,5,13,756.000,8.400,32.550
HBB-LB,5,14,336.000,8.400,48.825
HBB-LB,5,15,189.000,8.400,65.100
HBB-LB,5,16,3024.000,8.400,16.275
HBB-LB,5,17,756.000,8.400,32.550
HBB-LB,5,18,336.000,8.400,48.825
HBB-LB,5,19,189.000,8.400,65.100
HBB-LB,5,20,3024.000,8.400,16.275
HBB-LB,5,21,756.000,8.400,32.550
HBB-LB,5,22,336.000,8.400,48.825
HBB-LB,5,23,189.000,8.400,65.100
HBB-LB,5,24,3024.000,8.400,16.275
HBB-LB,5,25,756.000,8.400,32.550
HBB-LB,5,28,3024.000,8.400,16.275
HBB-LB,5,26,336.000,8.400,48.825
HBB-LB,5,27,189.000,8.400,65.100
HBB-LB,5,29,756.000,8.400,32.550
HBB-LB,5,30,336.000,8.400,48.825
HBB-LB,5,31,189.000,8.400,65.100
HBB-LB,5,32,3024.000,8.400,16.275
HBB-LB,5,33,756.000,8.400,32.550
HBB-LB,5,34,336.000,8.400,48.825
HBB-LB,5,35,189.000,8.400,65.100
HBB-LB,5,36,3024.000,8.400,16.275
HBB-LB,5,37,756.000,8.400,32.550
HBB-LB,5,38,336.000,8.400,48.825
HBB-LB,5,39,189.000,8.400,65.100
HBB-LB,5,40,3024.000,8.400,16.275
HBB-LB,5,41,756.000,8.400,32.550
HBB-LB,5,42,336.000,8.400,48.825
HBB-LB,5,43,189.000,8.400,65.100
HBB-LB,5,44,3024.000,8.400,16.275
HBB-LB,5,45,756.000,8.400,32.550
HBB-LB,5,46,336.000,8.400,48.825
HBB-LB,5,47,189.000,8.400,65.100
HBB-LB,5,48,3024.000,8.400,16.275
HBB-LB,5,49,756.000,8.400,32.550
HBB-LB,6,0,2808.000,7.800,15.113
HBB-LB,6,1,702.000,7.800,30.225
HBB-LB,6,2,312.000,7.800,45.337
HBB-LB,6,3,175.500,7.800,60.450
HBB-LB,6,4,2808.000,7.800,15.113
HBB-LB,6,5,702.000,7.800,30.225
HBB-LB,6,6,312.000,7.800,45.337
HBB-LB,6,7,175.500,7.800,60.450
HBB-LB,6,8,2808.000,7.800,15.113
HBB-LB,6,9,702.000,7.800,30.225
HBB-LB,6,10,312.000,7.800,45.337
HBB-LB,6,11,175.500,7.800,60.450
HBB-LB,6,12,2808.000,7.800,15.113
HBB-LB,6,13,702.000,7.800,30.225
HBB-LB,6,14,312.000,7.800,45.337
HBB-LB,6,15,175.500,7.800,60.450
HBB-LB,6,16,2808.000,7.800,15.113
HBB-LB,6,17,702.000,7.800,30.225
HBB-LB,6,18,312.000,7.800,45.337
HBB-LB,6,19,175.500,7.800,60.450
HBB-LB,6,20,2808.000,7.800,15.113
HBB-LB,6,21,702.000,7.800,30.225
HBB-LB,6,22,312.000,7.800,45.337
HBB-LB,6,23,175.500,7.800,60.450
HBB-LB,6,24,2808.000,7.800,15.113
HBB-LB,6,25,702.000,7.800,30.225
HBB-LB,6,28,2808.000,7.800,15.113
HBB-LB,6,26,312.000,7.800,45.337
HBB-LB,6,27,175.500,7.800,60.450
HBB-LB,6,29,702.000,7.800,30.225
HBB-LB,6,30,312.000,7.800,45.337
HBB-LB,6,31,175.500,7.800,60.450
HBB-LB,6,32,2808.000,7.800,15.113
HBB-LB,6,33,702.000,7.800,30.225
HBB-LB,6,34,312.000,7.800,45.337
HBB-LB,6,35,175.500,7.800,60.450
HBB-LB,6,36,2808.000,7.800,15.113
HBB-LB,6,37,702.000,7.800,30.225
HBB-LB,6,38,312.000,7.800,45.337
HBB-LB,6,39,175.500,7.800,60.450
HBB-LB,6,40,2808.000,7.800,15.113
HBB-LB,6,41,702.000,7.800,30.225
HBB-LB,6,42,312.000,7.800,45.337
HBB-LB,6,43,175.500,7.800,60.450
HBB-LB,6,44,2808.000,7.800,15.113
HBB-LB,6,45,702.000,7.800,30.225
HBB-LB,6,46,312.000,7.800,45.337
HBB-LB,6,47,175.500,7.800,60.450
HBB-LB,6,48,2808.000,7.800,15.113
HBB-LB,6,49,702.000,7.800,30.225
HBB-LB,7,0,2592.000,7.200,13.950
HBB-LB,7,1,648.000,7.200,27.900
HBB-LB,7,2,288.000,7.200,41.850
HBB-LB,7,3,162.000,7.200,55.800
HBB-LB,7,4,2592.000,7.200,13.950
HBB-LB,7,5,648.000,7.200,27.900
HBB-LB,7,6,288.000,7.200,41.850
HBB-LB,7,7,162.000,7.200,55.800
HBB-LB,7,8,2592.000,7.200,13.950
HBB-LB,7,9,648.000,7.200,27.900
HBB-LB,7,10,288.000,7.200,41.850
HBB-LB,7,11,162.000,7.200,55.800
HBB-LB,7,12,2592.000,7.200,13.950
HBB-LB,7,13,648.000,7.200,27.900
HBB-LB,7,14,288.000,7.200,41.850
HBB-LB,7,15,162.000,7.200,55.800
HBB-LB,7,16,2592.000,7.200,13.950
HBB-LB,7,17,648.000,7.200,27.900
HBB-LB,7,18,288.000,7.200,41.850
HBB-LB,7,19,162.000,7.200,55.800
HBB-LB,7,20,2592.000,7.200,13.950
HBB-LB,7,21,648.000,7.200,27.900
HBB-LB,7,22,288.000,7.200,41.850
HBB-LB,7,23,162.000,7.200,55.800
HBB-LB,7,24,2592.000,7.200,13.950
HBB-LB,7,25,648.000,7.200,27.900
HBB-LB,7,28,2592.000,7.200,13.950
HBB-LB,7,26,288.000,7.200,41.850
HBB-LB,7,27,162.000,7.200,55.800
HBB-LB,7,29,648.000,7.200,27.900
HBB-LB,7,30,288.000,7.200,41.850
HBB-LB,7,31,162.000,7.200,55.800
HBB-LB,7,32,2592.000,7.200,13.950
HBB-LB,7,33,648.000,7.200,27.900
HBB-LB,7,34,288.000,7.200,41.850
HBB-LB,7,35,162.000,7.200,55.800
HBB-LB,7,36,2592.000,7.200,13.950
HBB-LB,7,37,648.000,7.200,27.900
HBB-LB,7,38,288.000,7.200,41.850
HBB-LB,7,39,162.000,7.200,55.800
HBB-LB,7,40,2592.000,7.200,13.950
HBB-LB,7,41,648.000,7.200,27.900
HBB-LB,7,42,288.000,7.200,41.850
HBB-LB,7,43,162.000,7.200,55.800
HBB-LB,7,44,2592.000,7.200,13.950
HBB-LB,7,45,648.000,7.200,27.900
HBB-LB,7,46,288.000,7.200,41.850
HBB-LB,7,47,162.000,7.200,55.800
HBB-LB,7,48,2592.000,7.200,13.950
HBB-LB,7,49,648.000,7.200,27.900
HBB-LB,8,0,2376.000,6.600,12.788
HBB-LB,8,1,594.000,6.600,25.575
HBB-LB,8,2,264.000,6.600,38.362
HBB-LB,8,3,148.500,6.600,51.150
HBB-LB,8,4,2376.000,6.600,12.788
HBB-LB,8,5,594.000,6.600,25.575
HBB-LB,8,6,264.000,6.600,38.362
HBB-LB,8,7,148.500,6.600,51.150
HBB-LB,8,8,2376.000,6.600,12.788
