type,experiment_number,VM_ID,VM_exTime,VM_costPerStorage,VM_powerCompsuption
FUZZY,2,25,4.000,1.200,7.600
FUZZY,2,26,7.556,5.100,53.763
FUZZY,2,27,2.250,2.700,45.450
FUZZY,2,28,4.000,0.300,0.950
FUZZY,2,29,4.000,1.200,7.600
FUZZY,2,30,2.222,1.500,15.813
FUZZY,2,31,3.750,4.500,75.750
FUZZY,2,32,4.000,0.300,0.950
FUZZY,2,33,2.000,0.600,3.800
FUZZY,2,34,3.111,2.100,22.138
FUZZY,2,36,0.000,0.000,0.000
FUZZY,2,35,2.250,2.700,45.450
FUZZY,2,37,1.000,0.300,1.900
FUZZY,2,38,1.333,0.900,9.488
FUZZY,2,39,2.000,2.400,40.400
FUZZY,2,40,4.000,0.300,0.950
FUZZY,2,41,5.000,1.500,9.500
FUZZY,2,42,1.333,0.900,9.488
FUZZY,2,43,3.500,4.200,70.700
FUZZY,2,44,0.000,0.000,0.000
FUZZY,2,45,4.000,1.200,7.600
FUZZY,2,46,2.667,1.800,18.975
FUZZY,2,48,4.000,0.300,0.950
FUZZY,2,49,0.000,0.000,0.000
FUZZY,2,47,3.750,4.500,75.750
FUZZY,3,0,4.000,0.300,0.950
FUZZY,3,1,4.000,1.200,7.600
FUZZY,3,2,4.444,3.000,31.625
FUZZY,3,3,4.250,5.100,85.850
FUZZY,3,4,4.000,0.300,0.950
FUZZY,3,5,3.000,0.900,5.700
FUZZY,3,6,3.111,2.100,22.138
FUZZY,3,7,5.250,6.300,106.050
FUZZY,3,8,4.000,0.300,0.950
FUZZY,3,9,5.000,1.500,9.500
FUZZY,3,10,2.667,1.800,18.975
FUZZY,3,11,5.250,6.300,106.050
FUZZY,3,12,4.000,0.300,0.950
FUZZY,3,13,0.000,0.000,0.000
FUZZY,3,14,2.667,1.800,18.975
FUZZY,3,15,5.000,6.000,101.000
FUZZY,3,16,4.000,0.300,0.950
FUZZY,3,17,2.000,0.600,3.800
FUZZY,3,18,4.444,3.000,31.625
FUZZY,3,19,5.250,6.300,106.050
FUZZY,3,20,4.000,0.300,0.950
FUZZY,3,21,1.000,0.300,1.900
FUZZY,3,22,4.444,3.000,31.625
FUZZY,3,23,2.750,3.300,55.550
FUZZY,3,24,4.000,0.300,0.950
FUZZY,3,25,4.000,1.200,7.600
FUZZY,3,28,0.000,0.000,0.000
FUZZY,3,29,4.000,1.200,7.600
FUZZY,3,26,4.444,3.000,31.625
FUZZY,3,27,5.000,6.000,101.000
FUZZY,3,30,2.222,1.500,15.813
FUZZY,3,31,5.000,6.000,101.000
FUZZY,3,32,4.000,0.300,0.950
FUZZY,3,33,2.000,0.600,3.800
FUZZY,3,34,4.889,3.300,34.788
FUZZY,3,35,4.250,5.100,85.850
FUZZY,3,36,4.000,0.300,0.950
FUZZY,3,37,4.000,1.200,7.600
FUZZY,3,38,1.333,0.900,9.488
FUZZY,3,39,4.500,5.400,90.900
FUZZY,3,40,4.000,0.300,0.950
FUZZY,3,41,5.000,1.500,9.500
FUZZY,3,42,4.444,3.000,31.625
FUZZY,3,43,4.750,5.700,95.950
FUZZY,3,44,4.000,0.300,0.950
FUZZY,3,45,4.000,1.200,7.600
FUZZY,3,46,4.444,3.000,31.625
FUZZY,3,48,4.000,0.300,0.950
FUZZY,3,49,1.000,0.300,1.900
FUZZY,3,47,5.250,6.300,106.050
FUZZY,4,0,4.000,0.300,0.950
FUZZY,4,1,4.000,1.200,7.600
FUZZY,4,2,4.444,3.000,31.625
FUZZY,4,3,6.000,7.200,121.200
FUZZY,4,4,4.000,0.300,0.950
FUZZY,4,5,6.000,1.800,11.400
FUZZY,4,6,2.667,1.800,18.975
FUZZY,4,7,4.500,5.400,90.900
FUZZY,4,8,8.000,0.600,1.900
FUZZY,4,9,8.000,2.400,15.200
FUZZY,4,10,1.778,1.200,12.650
FUZZY,4,11,6.750,8.100,136.350
FUZZY,4,12,4.000,0.300,0.950
FUZZY,4,13,6.000,1.800,11.400
FUZZY,4,14,4.000,2.700,28.463
FUZZY,4,15,4.750,5.700,95.950
FUZZY,4,16,8.000,0.600,1.900
FUZZY,4,17,4.000,1.200,7.600
FUZZY,4,18,6.667,4.500,47.438
FUZZY,4,19,5.250,6.300,106.050
FUZZY,4,20,8.000,0.600,1.900
FUZZY,4,21,6.000,1.800,11.400
FUZZY,4,24,4.000,0.300,0.950
FUZZY,4,28,4.000,0.300,0.950
FUZZY,4,22,5.333,3.600,37.950
FUZZY,4,23,6.250,7.500,126.250
FUZZY,4,25,5.000,1.500,9.500
FUZZY,4,26,4.444,3.000,31.625
FUZZY,4,27,6.750,8.100,136.350
FUZZY,4,29,4.000,1.200,7.600
FUZZY,4,30,4.889,3.300,34.788
FUZZY,4,31,6.000,7.200,121.200
FUZZY,4,32,4.000,0.300,0.950
FUZZY,4,33,8.000,2.400,15.200
FUZZY,4,34,4.000,2.700,28.463
FUZZY,4,36,8.000,0.600,1.900
FUZZY,4,35,6.000,7.200,121.200
FUZZY,4,37,5.000,1.500,9.500
FUZZY,4,38,4.889,3.300,34.788
FUZZY,4,39,6.000,7.200,121.200
FUZZY,4,40,4.000,0.300,0.950
FUZZY,4,41,6.000,1.800,11.400
FUZZY,4,42,3.556,2.400,25.300
FUZZY,4,44,8.000,0.600,1.900
FUZZY,4,45,7.000,2.100,13.300
FUZZY,4,43,5.750,6.900,116.150
FUZZY,4,46,6.667,4.500,47.438
FUZZY,4,47,6.250,7.500,126.250
FUZZY,4,48,0.000,0.000,0.000
FUZZY,4,49,4.000,1.200,7.600
FUZZY,5,0,20.000,1.500,4.750
FUZZY,5,1,9.000,2.700,17.100
FUZZY,5,2,4.444,3.000,31.625
FUZZY,5,3,6.500,7.800,131.300
FUZZY,5,4,4.000,0.300,0.950
FUZZY,5,5,6.000,1.800,11.400
FUZZY,5,6,6.667,4.500,47.438
FUZZY,5,7,5.000,6.000,101.000
FUZZY,5,8,16.000,1.200,3.800
FUZZY,5,9,9.000,2.700,17.100
FUZZY,5,10,2.667,1.800,18.975
FUZZY,5,11,7.750,9.300,156.550
FUZZY,5,12,8.000,0.600,1.900
FUZZY,5,13,8.000,2.400,15.200
FUZZY,5,14,5.333,3.600,37.950
FUZZY,5,15,6.250,7.500,126.250
FUZZY,5,16,4.000,0.300,0.950
FUZZY,5,17,5.000,1.500,9.500
FUZZY,5,18,5.778,3.900,41.113
FUZZY,5,19,7.500,9.000,151.500
FUZZY,5,20,4.000,0.300,0.950
FUZZY,5,21,8.000,2.400,15.200
FUZZY,5,24,8.000,0.600,1.900
FUZZY,5,28,8.000,0.600,1.900
FUZZY,5,22,8.444,5.700,60.088
FUZZY,5,23,8.000,9.600,161.600
FUZZY,5,25,3.000,0.900,5.700
FUZZY,5,26,4.444,3.000,31.625
FUZZY,5,27,6.000,7.200,121.200
FUZZY,5,29,6.000,1.800,11.400
FUZZY,5,30,7.556,5.100,53.763
FUZZY,5,31,5.000,6.000,101.000
FUZZY,5,32,4.000,0.300,0.950
FUZZY,5,33,9.000,2.700,17.100
FUZZY,5,34,8.444,5.700,60.088
FUZZY,5,35,5.000,6.000,101.000
FUZZY,5,36,8.000,0.600,1.900
FUZZY,5,37,6.000,1.800,11.400
FUZZY,5,38,5.333,3.600,37.950
FUZZY,5,39,8.000,9.600,161.600
FUZZY,5,40,8.000,0.600,1.900
FUZZY,5,41,5.000,1.500,9.500
FUZZY,5,42,3.556,2.400,25.300
FUZZY,5,44,12.000,0.900,2.850
FUZZY,5,45,8.000,2.400,15.200
FUZZY,5,43,5.750,6.900,116.150
FUZZY,5,46,6.667,4.500,47.438
FUZZY,5,47,5.750,6.900,116.150
FUZZY,5,48,0.000,0.000,0.000
FUZZY,5,49,7.000,2.100,13.300
FUZZY,6,0,4.000,0.300,0.950
FUZZY,6,1,4.000,1.200,7.600
FUZZY,6,2,6.222,4.200,44.275
FUZZY,6,3,7.000,8.400,141.400
FUZZY,6,4,4.000,0.300,0.950
FUZZY,6,5,10.000,3.000,19.000
FUZZY,6,6,5.778,3.900,41.113
FUZZY,6,7,7.750,9.300,156.550
FUZZY,6,8,12.000,0.900,2.850
FUZZY,6,12,4.000,0.300,0.950
FUZZY,6,9,8.000,2.400,15.200
FUZZY,6,10,6.222,4.200,44.275
FUZZY,6,11,4.750,5.700,95.950
FUZZY,6,13,8.000,2.400,15.200
FUZZY,6,14,9.333,6.300,66.413
FUZZY,6,15,7.500,9.000,151.500
FUZZY,6,16,12.000,0.900,2.850
FUZZY,6,17,5.000,1.500,9.500
FUZZY,6,20,0.000,0.000,0.000
FUZZY,6,18,7.111,4.800,50.600
FUZZY,6,19,6.000,7.200,121.200
FUZZY,6,21,10.000,3.000,19.000
FUZZY,6,22,5.333,3.600,37.950
FUZZY,6,23,6.000,7.200,121.200
FUZZY,6,24,8.000,0.600,1.900
FUZZY,6,25,10.000,3.000,19.000
